timestamp,sensor_type,distance
1775945447.3709102,LIDAR,2449
1775945447.5142546,LIDAR,2447
1775945447.6149542,LIDAR,2447
1775945447.7943068,LIDAR,2449
1775945447.8951657,LIDAR,2448
